스팟아이디,스팟명,오디오명,대본내용,재생시간(초)
1345,가야속의 가야,가야속의 가야,"앞서 가야는 여러 개의 나라가 뭉친 연맹국가라고 얘기했었죠 그중 대표적 세력은 금관가야, 아라가야, 대가야였습니다. 낙동강 하류 서쪽인 경남 김해지역에 위치했던 금관가야는 철기를 만들어서 수출을 하던 무역 강국이었어요. 금관가야는 철광석이 풍부한데다 철을 가공하는 기술도 뛰어나서 우수한 철기를 만들어 냈지요. 게다가 김해는 당시만 해도 중국과 일본을 이어주는 국제적인 무역항이었어요. 그렇기에 가야연맹에서 금관가야는 첫 번째 주도국가가 되었죠. 금관가야의 서쪽인 경남 함안을 중심으로 한 아라가야 땅은 산으로 둘러싸인 분지로 농사지을 땅이 많아서 풍족한 생활을 누렸답니다. 위치적으로 다른 지역과 왕래가 적어 독자적인 문화를 만들었는데요, 한편으로는 백제와 일본이 함께하는 국제회의를 개최할 정도로 영향력을 떨치던 나라였어요. 대가야는 가야연맹의 후기를 주도한 나라예요. 금관가야 위쪽 경북 고령지역에 위치했던 대가야는 고령지방에서 나는 풍부한 철광석을 이용해서 무럭무럭 성장하고 있었죠. 그러다 4세기에 금관가야가 신라와 고구려의 공격을 받아 큰 타격을 입게 되자 가야연맹을 이끌게 돼요. 대가야의 토기들은 진주 같은 섬진강 주변이나 순천, 남원 같은 전라도 동쪽 지방에서도 발견되는데요, 그걸 보면 대가야가 얼마나 널리 세력을 떨쳤는지 알 수 있죠. 또한 고령에 가면 엄청나게 큰 대가야의 고분들이 남아있어 강력한 지도자들이 있었음을 알 수 있습니다. 이처럼 가야는 오랜 시간 동안 독창적인 토기문화와 뛰어난 철기 제조 기술을 발전시켜 왔답니다. 또한 가야연맹체는 한 세력에 통합되지 않고 각자 세력을 유지하며 독창적인 문화를 만들어낼 수 있었죠. 하지만 조직적인 국가로 통합되지 못하였기에 강한 군사력을 가진 신라의 공격 앞에서 결국 무너지고 말았답니다. ",158
1344,청동솥,스며드는 이국의 향기-가야의 대외교류,"여기에 모인 유물들은 가야 땅에서 발견된 것이지만 원래는 모두 멀리 타국 땅에서 만들어진 것들이랍니다. 가야는 김해 같은 국제적인 항구를 통해 철을 수출하며 외국과 활발하게 교역했던 나라였어요. 그런 만큼 외국의 다양한 문물도 가야로 들어온 것이지요. 왼쪽에 있는 바람개비 모양의 유물을 볼까요 이건 방패를 꾸미는 장식품인데요, 이렇게 생긴 방패꾸미개는 고대 일본에서 많이 발견됐었어요. 그런 물건이 어떻게 가야 땅에 오게 됐을까요 아마 의례용으로 선물로 주고받았을 것으로 생각하는데 이를 통해 일본과 가야가 밀접한 관계를 맺고 있었다는 걸 알 수 있습니다. 가운데 있는 청동 솥은 중국 북방(지금의 지린이나 내이멍구지역) 유목민들이 쓰던 그릇이에요. 그곳 사람들은 말을 타고 여기저기 옮겨 다니며 살았는데요, 이 솥을 말 안장에 매달고 다니면서 야외에서 양고기나 말고기 같은 음식을 끓여 먹었다고 합니다. 이 솥이 가야가 북방의 나라들과 활발하게 교류했다는 것을 보여주는 것이죠. 그 외에 서역(지금의 중동지역)에서 왔을 것으로 보는 유리잔이나 창끝을 장식하는 청동방울들도 모두 이국적인 물건들이에요. 교역을 위해 외국상인들이 오고 가며 시끌벅적했을 가야의 국제 항구를 한번 상상해 보는 건 어떨까요",106
1342,판갑옷,"가야의 병사를 보호하라, 가야의 판갑옷","이것은 가야의 판갑옷과 투구입니다. 고대사회 전투에서 방어력을 높이기 위해 사용됐던 갑옷과 투구는 3세기 전까지 나무나 가죽으로 만들어졌다고 해요. 그러다 4세기부터 가야사람들은 갑옷과 투구를 철로 만들기 시작합니다. 여기 전시돼있는 갑옷들이 바로 그 당시의 것들인데요, 여러 가지 모양의 철판을 연결해 만들었기 때문에 판갑옷이라고 합니다. 하지만 넓은 철판을 못이나 가죽을 이용해 옷처럼 만들다 보니 무게가 무겁고, 갑옷을 착용했을 때 움직임이 자유롭지 못했을 수도 있습니다. 이에 비해 5세기 이후 많이 보이는 작은 비늘모양의 철판을 엮은 비늘갑옷은 판갑옷에 비해 상대적으로 움직임이 자유로워서 말을 탄 무사가 입기에 적합한 갑옷이라 할 수 있습니다. 이처럼 가야는 풍부한 철과 철제기술을 바탕으로 다양한 무기를 제작하며 군사력을 강화할 수 있었던 거예요. 최첨단의 장비를 갖춘 가야의 병사. 철갑옷과 투구를 쓴 당당하고 용맹스런 가야 병사를 상상해 볼까요",91
1343,상형토기,가야의 상형 토기,"이 유물들은 흙으로 만든 토기입니다. 보통의 무언가를 담는 토기와는 달리, 여러 가지 인물이나 자연물의 외형을 본 따 만들어 상형토기라고 합니다. 전시된 것처럼 그 형상은 수레, 신발, 배, 집, 인물, 말, 사슴 등 다양합니다. 이러한 상형토기들은 장식적인 역할보다 죽은 사람의 무덤에 같이 묻혀 무덤 주인의 죽음을 위로하고 죽은 후의 세상에서의 평안을 기원하는 역할을 했었어요. 말과 사슴은 고구려의 주몽 신화에도 나오듯 인간의 뜻을 하늘에 전달한다고 믿었고, 오리로 형상화된 새, 배, 신발, 수레바퀴 등은 죽은 이의 영혼이 하늘로 날아올라 갈 때 도움을 준다고 여겼어요. 중앙에 있는 집모양의 토기가 보이세요 그런데 집에 곡물을 탐하는 쥐와 그 쥐를 노리는 고양이의 모습이 있네요! 그때도 곡식을 먹는 쥐 때문에 골치가 아팠나 봅니다. 옆에 신선로 모양의 잔이나 삼각구멍 무늬 잔, 바퀴 달린 잔, 신발 위에 붙은 잔과 같은 잔은 제사를 드릴 때 술을 올리는 용도로 사용했어요. 또한 기마인물상은 실제 사람을 순장하는 대신에 사용되기도 했답니다.이러한 상형토기는 고구려나 백제문화권보다 신라와 가야 문화권에서 유행했어요. 투박해 보이기도 하지만 삶의 모습을 그대로 나타내며 그 당시 사람들의 감성을 잘 나타낸 토기는 멋진 예술작품이지요. 한번 천천히 감상하면서 다음으로 이동하도록 해요.",121
1341,가야 철기유물,"철의 왕국, 가야","돌과 나무, 그리고 청동기로 만들어진 무기에 비해 철로 만들어진 무기는 전쟁에서의 승패와 더 나아가 국가의 흥망성쇠를 좌우하는 결정적인 역할을 하게 됩니다. 더 강력한 무기를 가진 세력이 다른 세력을 정복한 거죠. 이런 철을 기반으로 한반도에 등장한 고대국가가 김해를 중심으로 성립된 가야입니다. 당시 가야는 풍부한 철과 동북아시아 최고의 제철기술을 가지고 있었죠. 단단한 철을 진흙처럼 자유롭게 다루며 각종 철제 무기와 농기구, 마구 등을 제작했습니다. 가장 왼편을 한번 잘 살펴보세요. 날이 없는 납작한 도끼 모양을 하고 있는 쇳덩어리가 보이시나요 바로 덩이쇠입니다. 이걸 불에 달궈 두드리면 어떤 물건이든 쉽게 원하는 모양으로 만들 수가 있었어요. 철기를 생산하기 위한 중간 소재라고 할까요 또, 크기가 작아 보관하고 운반하기 쉬웠기 때문에 수출용으로도 적합했답니다.가야는 2세기 이후부터 풍부하게 생산된 질 좋은 철을 멀리 낙랑 지역을 아울러 일본으로까지 수출하고 있었죠. 이때 철을 좀 더 쉽고 편리하게 운반하기 위해서 덩이쇠를 이용했던 거고요. 또 덩이쇠는 오늘날의 화폐처럼 교환수단으로도 사용됐답니다. 시장에서 사람들이 철로 물건을 사고팔고 하는 모습을 상상해 보세요. 덩이쇠 오른쪽으로 모루와 망치, 집게가 보이죠　달구어진 쇳덩이를 꺼내서 잡고 두드리는데 망치와 집게, 모루가 사용되었답니다. 그런 쇠를 숫돌에 갈아 날을 세우면 훌륭한 철기가 되는 거죠. 그 옆으로는 작은 굴뚝처럼 생긴 게 보이나요 마치 토기의 일부처럼 보이지만, 이 전시품은 송풍관이에요. 송풍관은 말 그대로 바람을 넣어주는 관인데, 철을 녹이는 가마와 연결되어 불의 화력을 높이는 데 필요한 것입니다. 풍부한 철을 바탕으로 철의 제작기술이 발달한 가야는 각종 철기들을 제작했고 외국과도 교류하면서 부와 국력을 갖출 수 있었어요. 마치, 오늘날 석유 자원을 바탕으로 부유함을 누리고 있는 중동의 나라들처럼 말이죠.",168
1340,가야관 소개,"철의 제국, 가야","이곳은 가야실이에요. 가야는 변한의 소국에서 발전한 김해에 있던 금관가야를 비롯해서 6개의 나라가 뭉친 연맹국가였습니다. 가야라는 명칭이 사료에 등장하는 것은 대략 3세기 중반으로 금관가야, 아라가야, 대가야가 대표적 세력이었습니다. 초기에는 김해 지역에 세워진 금관가야가 연맹의 주도국이었어요. 주도국이 될 수 있었던 건 뛰어난 철을 만드는 기술을 바탕으로 문화를 발전시켰기 때문이죠. 당시 다른 국가에서도 철을 만드는 기술이 있기는 있었지만 금관가야가 있던 경상도 지역이 중요한 제철산지였고 낙동강 입구 및 경남 해안에 위치해서 해운 입지조건이 매우 양호했기 때문에 주변 국가들이 가야의 철을 찾아 모여들게 되었던 겁니다. 5세기 이후에는 대가야가 주도권을 잡았어요. 농업이 발달했고 역시 철기 제작 기술이 뛰어나 세력을 키웠던 거죠. 이 시대 철제 농기구를 통해 농업 생산량이 많이 늘어남은 물론이고, 그만큼 땅이 중요해짐에 따라 땅을 차지하기 위한 경쟁이 강화되면서 전쟁에서 이기기 위해서는 강한 철제 무기가 중요했던 거죠. 또한 바닷길을 통해 중국과 일본, 그리고 북쪽의 유목민족과도 교류했답니다. 이처럼 가야는 뛰어난 제철기술을 가지고 독자적인 문화를 이루며 500년이 넘는 시간 동안 자신들만의 독특한 문화를 이뤘던 국가였습니다.",115
1339,무늬벽돌과 기와,백제의 건축예술,"이곳에 전시된 것은 백제시대 유적지에서 출토된 장식용 무늬 벽돌과 기와예요. 앞에 놓인 벽돌들은 네모난 모양에 다양한 무늬가 새겨져 있는데, 벽돌을 쌓을 때 네 모서리에 홈이 파여 있어서 서로를 연결한 후에 고정시킬 수 있었어요. 백제의 벽돌은 사비시대 유행했던 도교의 영향을 받아 구름무늬, 산수무늬, 도깨비무늬 등 다채로운 문양을 가지고 있어요. 이렇게 새겨진 벽돌의 무늬는 회화성이 매우 뛰어나, 당시 백제 사람들의 사상, 종교, 예술 등 다양한 모습을 알 수 있답니다.백제는 웅진시기부터 중국과의 잦은 교류가 있었어요. 이 덕분에 전통적으로 전해오던 기와제작 기술에 중국의 기와 제작기술을 더한 수준 높은 기와 제작기술을 갖게 됐죠. 사비로 도읍을 옮긴 후에는 도성 안팎에 많은 사찰이 세워짐에 따라 기와 제작도 활발해졌으며 양식도 다양해졌어요. 무늬벽돌 옆에는 아름다운 연꽃무늬를 새긴 수막새들이 있는데요, 기와를 올리고 그 끝을 마무리하는 기능을 하는 막새에도 연꽃무늬를 비롯하여 여러 아름다운 무늬를 조각하였답니다. 백제의 건축은 미술적 우아함과 뛰어난 기술력을 보여주고 있어요. 이처럼 백제의 건축예술이 발전할 수 있었던 이유는 중국의 선진기술을 받아들인 부분도 있지만, 기술을 장려하고, 장인을 우대하던 백제의 사회적 특징 때문이었죠. 백제에서는 벽돌과 기와를 만드는 장인에게 와박사라는 관직을 주고, 적극적으로 지원해주었어요. 이들은 기술을 연구하고 발전시켜, 제자에게 전수해줘 기술의 맥이 끊기지 않고 더욱 발전할 수 있게 했죠. 또한 이들은 일본에 직접 파견되어 기술을 전수해줌으로써, 고대 일본의 기와 발전에도 매우 중요한 역할을 했답니다.",143
1338,사택지적비,"사택지적, 흐르는 세월을 한탄하며 비석을 만들다.","[해설] 지금 보시는 유물은 귀족 사택지적의 비석이에요. 사택지적은 사람 이름이에요. 사택이 성이고 지적은 이름이죠. 사택지적은 백제 의자왕 때 오늘날의 국무총리에 해당하는 대좌평을 지낸 인물이에요.[남학생] 비석을 보면 한자가 빼곡히 적혀 있는데요, 무슨 내용인가요[해설] “나 사택지적은 해가 쉬이 가는 것을 슬퍼하고 달은 어렵사리 돌아오는 것이 서러워서, 금을 캐어 진귀한 집을 짓고 옥을 파내어 보배로운 탑을 세우니, 그 높디높은 자애로운 모습은 신령스런 빛을 토하여 구름을 보내는 듯하고, 그 우뚝 솟은 자비로운 모습은 성스러운 밝음을 머금어…….”[남학생] 으. 뭐가 그렇게 어려워요[해설] 대좌평 관직에서 물러나고 보니 늙어버린 세월이 한탄스러운지 “불교에 귀의하면서 절을 짓는다” 라는 내용이에요. [남학생] 대좌평이면 국무총리 같은 높은 관직인데 뭐가 아쉬워서 한탄스러우시데요 만날 맛있는 거 먹고 좋았을 텐데~[해설] 금은보화가 넘쳐흘러도 늙고 병들면 아무 소용이 없는 거죠. 부와 권력을 모두 가졌던 귀족 사택지적도 늙어 감을 한탄하면서 절을 짓고 불교에 귀의했다는 비석의 내용, 오늘날의 우리도 새겨들을 만하겠죠!",104
1337,백제의 공예품,백제의 공예품,"이곳 유물은 무령왕릉에서 나온 공예품들이에요. 충남 공주에서 발견된 무령왕릉은 백제 고분 중에서 유일하게 도굴되지 않은 채 온전한 모습으로 발견된 무덤이죠. 그만큼 그 안에서는 백제문화를 보여주는 특별하고 뛰어난 유물들이 고스란히 발굴되었답니다. 그럼 그중에서도 백제의 공예기술을 보여주는 공예품들을 하나씩 자세히 살펴볼까요먼저 왕비의 목걸이에요. 일정한 간격으로 연결된 금 막대마다 고리를 만들고 마무리를 한 솜씨가 매우 세련됐죠. 금 막대기로 연결된 것은 고구려는 물론 신라, 가야에서도 볼 수 없는 백제만의 독특한 목걸이에요. 그 아래에 있는 목걸이들 역시 무령왕릉에서 나왔는데요, 금박구슬과 유리구슬로 만들어 매우 화려하면서도 아름답습니다.목걸이 오른쪽에 있는 건 왕비의 팔찌와 꽃모양 꾸미개예요. 단순하면서도 대범한 디자인으로 금과 은으로 만들어졌어요. 이런 유물들을 자세히 살펴보면 그 옛날 백제의 공예기술이 얼마나 세밀하고 화려했는가를 느낄 수 있을 겁니다.",94
1336,양직공도,양나라에 간 백제 사신의 모습,"[해설] 여러분 눈앞에 있는 그림은 중국 양나라 때 조공하러 온 여러 외국 사신들의 모습을 그린 거예요. <양직공도>라고 하죠. 중국의 관점에서 바라본 여러 외국 사신들의 모습이 묘사되어 있기 때문에, 당시 중국 주변국들에 대한 객관적인 정보를 알 수 있어요. [남학생] 그런데, 왜 우리나라 박물관에 중국 그림이 전시되어 있는 거죠[해설] 그 질문에 대한 답은 그림 속에 있어요. 이 그림 속에 당시 백제에서 온 사신의 모습이 그려져 있기 때문에 전시되어 있는 거예요. 한번 찾아볼까요[남학생] 아, 그렇군요. 여기 백제라고 쓰여 있어요. [해설] 맞아요. 중앙에 진한 색으로 되어 있는 게 백제 사신입니다. 백제 사신을 살펴볼까요 머리에는 관을 쓰고 두루마기에 바지를 입었으며 가죽 구두를 신었어요. 전체적으로 굉장히 세련되고 단아한 모습이죠. 양옆에 있는 다른 나라에서 온 사신들과는 무척 비교되는 모습입니다. 제일 왼쪽에 있는 왜에서 온 사신의 모습을 살펴보세요. 몸에는 천 조각을 걸쳤고, 발은 맨발이죠 다른 나라 사신의 모습도 이와 비슷해요. 따라서 백제는 당시 주변나라에 비해 훨씬 수준 높은 문명국이었다는 사실을 알 수 있습니다.[남학생] 백제가 수준 높은 문명국이었다고 하니까 기분이 좋아요. 근데 양직공도에는 그림 옆에 글씨도 쓰여 있는데, 무슨 뜻이죠[해설] 백제와 중국이 교류한 내용을 비롯해서 백제라는 나라에 대해 간단히 설명하는 글이에요. 그중에 ‘백제인은 걸을 때 두 팔을 벌리지 않고, 절을 할 때 한쪽 다리를 펴지 않는다’라는 문장이 재미있죠. 이 그림들은 6세기 당시 백제 사신의 의복을 엿볼 수 있고, 백제의 문화와 풍속에 대해서도 알 수 있기 때문에 백제를 연구하는 데 아주 귀한 자료랍니다. ",138
1335,백제금동대향로,"동북아 향로 예술의 걸작, 백제금동대향로","금동대향로는 백제인의 정신세계와 예술적 역량이 함축된 백제 공예품의 정수라고 할 수 있는 유물입니다. 놀랍게도, 이 아름다운 향로는 관광객들을 위한 주차장 공사 현장에서 우연히 발견됐어요. 말 그대로 진흙 속에서 보물이 나온 것이죠!1,400년 만의 긴 잠에서 깨어난 향로는 어떤 훼손도 없이, 원형 그대로의 모습을 유지하고 있었는데요. 발굴 당시까지 진흙 속에 밀폐된 상태로 남아 있었던 덕분에, 오히려 완벽하게 보존될 수 있었던 거죠. 향로의 발견 이후 그 주변의 추가 발굴이 이뤄졌고, 그곳에 백제왕실을 위한 절이 있었다는 사실을 알게 됐습니다. 그리고 향로가 단순한 장식품이 아닌, 중요한 의식이 있을 때마다 사용되던 일종의 제사용 그릇으로 쓰였다는 사실도 밝혀졌습니다. 고대 이집트를 비롯한 서양의 여러 나라에서도 향을 피우며 제사를 지냈다는 역사 기록이 있는데요. 이로 미루어 보아, 동, 서양 모두 고대 사회에서 무언가를 태워 얻는 향기와 연기는 매우 신성시되었다는 걸 알 수 있습니다. 이제 향로를 한번 살펴볼까요 향로는 크게 네 부분으로 되어 있어요. 새 모양이 있는 맨 윗부분과 연기가 나오는 뚜껑, 그리고 화려한 문양이 새겨진 몸체, 용모양의 받침대로 말이죠. 먼저, 뚜껑 위에서 화려하고도 위엄 있는 모습으로 서 있는 새는 고대 동양에서 신성하게 여겨졌던 상상 속 동물로 봉황이라고 합니다. 서양의 불사조처럼 말이죠. 이 새는 용과 함께 신성한 힘을 가지고 있다고 여겨졌죠. 향로 꼭대기에 서 있는 봉황의 모습은 백제예술의 세련미를 잘 보여주고 있는데요. 특히 위로 살짝 올라가 있는 부드럽게 뻗은 긴 꼬리는 섬세한 공예술의 절정이라고 말할 수 있습니다. 다음으로, 뚜껑 부분을 이루고 있는 산은 신선들이 모여 사는 세계를 표현하고 있어요. 갖가지 진귀한 동물과 꽃들, 그리고 천상의 악사들이 함께 모여 살고 있는 모습은 마치 천상의 낙원을 떠올리게 하죠. 마지막으로, 몸통 부분은 마치 피어오르는 연꽃과 같은 모습을 하고 있는데, 이는 모든 생물은 연꽃에서 탄생한다는 불교의 세계관을 상징하는 것입니다.           이렇게 향로는, 불교와 자연 세계. 현실과 이상의 경계를 모두 아우르며, 당시 백제인들이 꿈꾸던 이상향의 모습을 완벽하게 표현하고 있습니다. ",191
1334,백제실 소개,"신비의 왕국, 백제","이곳은 백제시대의 유물이 전시되어 있는 백제실이에요. 백제는 고구려 주몽의 아들인 온조가 북에서 내려와 한강 이남에 정착하여 세운 나랍니다. 현재 한강 이남에 위치한 풍납토성에서는 큰 규모의 건물 유적과 제사유적, 그리고 잘 정비된 도로 등이 확인되어 이곳을 초기 백제의 도성으로 생각하고 있답니다.4세기 근초고왕 때 삼국 중에 제일 먼저 전성기를 맞이하게 되는 백제는 이 시기에 왕권을 강화하고, 나라의 체계를 정비하는 등 나라 안을 튼튼히 하는 데 집중했어요. 이를 바탕으로 북으로는 고구려의 영토인 황해도 일대와 남으로는 그동안 지배력이 미치지 못했던 마한의 전 영토를 점령하여 백제 역사상 가장 넓은 영토를 이룩했죠. 하지만 고구려의 침입으로 수도인 한성이 함락되고 지금의 공주지역인 웅진으로 수도를 옮기게 되며, 백제는 침체기를 맞이하죠. 이러한 위기상황을 극복하고 중흥을 이끈 왕이 여러분도 잘 아시는 무령왕이에요. 그는 내부적으로 약해진 왕권을 강화하고, 대외적으로 고구려와 신라의 침략을 막아내며, 중국, 일본과의 교류를 확대해 다시 한 번 백제가 일어날 수 있는 힘을 키워나갔죠. 무령왕으로 인해 제2의 전성기를 맞이한 백제에게 웅진지역은 수도의 역할을 하기엔 너무 규모가 작았어요. 그래서 538년 성왕은 왕권을 더욱 강화하고 효율적인 통치를 실현하기 위해 지금의 부여지역인 사비로 수도를 옮기게 되죠. 이곳에서 백제문화는 절정을 이루었습니다.660년 신라에게 멸망당하기 전까지 백제는 예술과 종교에서 불교문화를 화려하게 꽃피웠고 활발한 대외교류를 통해서 동아시아 속에서 국제적 입지를 확고히 하였답니다. ",143
1332,고구려 무기류 등 남진관련 유물,고구려의 영토 확장,"고구려 하면 우리 민족의 늠름하고 진취적인 기상을 이야기하게 되요. 한반도에서 벗어나 만주벌판을 아우르며 대륙까지 뻗어 나가 영토를 넓혔던 고구려! 고구려는 어떻게 영토를 확장해 나갔을까요전시된 것은 말을 타고 진격한 고구려인들이 사용했던 화살촉과 말갖춤 물건들입니다. 고구려가 영토 확장을 해 나간 것은 바로 뛰어난 무기와 병술이 있었기 때문이랍니다. 고구려 벽화를 보면 무기와 군대구성이 변화하는 것이 보이는데요, 초기에는 고리자루칼, 철검과 같은 짧은 병기를 쓰며 보병 위주의 군대였지만 점차 창이나 활을 사용하게 됐고 군대도 선진적 기마 무장을 한 기병 위주가 되었답니다.고구려는 북쪽뿐만 아니라 남쪽으로도 그 영토를 넓혀나갔어요. 고구려가 남진한 것은 남아있는 유물로 확인할 수 있는데요, 전시된 남진 관련 물건 중 왼쪽과 위에 있는 것은 고구려의 농기구예요. 한강 북쪽의 아차산과 그 남쪽 홍련봉 일대에서 발견된 고구려의 성곽 유적에서 나왔지요. 고구려 군대는 그 안에서 농사를 지어 살았기에 철제보습과 호미 등이 발견되었어요. 한강은 한반도의 중심이기에 영토 확장을 하기 위해서는 꼭 차지해야 하는 곳이었어요. 남북과 동서를 연결하고 교류하기에 중요한 위치였으며 토지가 비옥하여 물자가 풍부하고 서해안을 통해 중국과의 교류를 할 수 있었던 전략적 핵심 지역이었죠. 삼국이 모두 이곳을 차지하기 위해 치열하게 다퉜어요. 그렇기에 고구려도 백제를 몰아내고 한강을 차지하기 위해 힘을 기울였답니다. 오른쪽에 있는 청동그릇은 신라의 무덤에서 출토된 것으로 ‘광개토왕명호우’라고 불린답니다. 장수왕 때 만든 고구려의 이 그릇이 신라에까지 전해진 것을 보아 고구려의 영향력을 볼 수 있습니다. 광개토대왕 때 만주 지역까지 영토를 넓히고 아들 장수왕 때는 남쪽으로 한강을 넘어 금강까지 도달한 고구려 유물들을 통해 고구려의 진취적이고 용맹한 기상을 느낄 수 있습니다.",164
1331,생활용품,고구려의 일상,"고구려인들은 어떻게 생활했을까요 요즘처럼 사진이 남아 있어 그 모습을 볼 수 있다면 참 좋을 텐데 아쉽죠 하지만 사진 대신 그림이 있어요! 고구려 사람들은 무덤에 자신들이 생활했던 모습을 벽화로 그려두었기 때문에 그 모습을 알 수 있답니다.안악 3호분은 생활그림이 있는 대표적인 벽화고분이에요. 주인 부부가 집 안에서 시중을 받는 장면, 묘의 주인이 외출할 때 기마행렬의 호위를 받는 장면, 전투를 하거나 사냥하는 장면, 연회를 베풀고 가무와 놀이를 즐기는 장면, 음식을 만드는 부엌의 모습 등이 다양하게 그려져 있어 고구려시대의 생활을 알게 하죠. 벽화에 그려진 것이 실제 유물로 발견되기도 했어요. 전시된 철제 부뚜막은 평안북도에서 발견된 것으로 고구려 벽화에서 보이는 부뚜막 그림과 같은 것인데요, 불 피우는 아궁이에 앞으로 네모난 구멍이 뚫리고 위쪽에 그릇을 받을 수 있도록 둥근 구멍이 뚫려 있어서 어떻게 사용했는지를 알 수 있답니다. 또한 서울 구의동에서 발견된 고구려 보루 유적에서는 양쪽에 쇠뿔형 손잡이가 있고, 바닥에 둥근 구멍이 조밀하게 뚫린 시루와 철제 솥이 발견되기도 했어요. 고구려인은 곡물을 가루 내어 시루에 쪄 먹었어요. 바로 고분의 벽화 속에서도 부뚜막에 시루모양의 큰 동이를 올리고 국자로 동이 속을 저으며 조리하는 모습이 있어 그 모습을 알 수 있죠. 그리고 오른쪽 유리관에 전시된 못신이 발견되기도 했는데요, 발크기도 크고 못도 뾰족뾰족 박혀있어서 어떻게 신을까 의문이 들지만 벽화에 보면 갑옷과 투구로 무장한 기병이 보병의 접근을 막기 위해 자신의 신발에 덧대어 신었다는 걸 알 수 있습니다. 고구려의 기록사진인 고분벽화는 참 많은 걸 알려주지요 ",145
1330,고구려실 소개,대륙의 나라 고구려,"이곳은 한반도의 북쪽에 위치했던 고구려를 살펴보는 곳입니다. 고구려는 압록강 중류 지역에서 있던 소국들의 연맹체로 시작해 점차 권력을 통합하고 중앙집권화를 이루며 고대국가를 이루었어요. 소수림왕은 불교를 받아들이고 율령을 반포하면서 고구려를 성숙한 고대국가로 발전시키는 데 큰 역할을 했답니다. 이후 고구려는 5세기 광개토대왕과 장수왕 때 전성기를 누리게 되요. 이때 고구려의 영토는 만주일대를 비롯해서 한강유역까지를 포함한 대제국이었죠. 고구려를 대륙의 나라라고 말하는 것도 이때의 영토가 대륙에까지 진출해서 어마어마하게 넓었기 때문입니다. 세력이 커진 만큼 고구려는 한반도 내 다른 고대 국가들에 비해 가장 먼저 선진적인 문화를 이루었고 동북아시아의 중심적 중계 교역자로 발전하며 국제적 영향력을 발휘했어요. 이런 고구려를 중국도 함부로 하지 못했는데요, 중국을 통일한 수나라는 고구려와의 전쟁으로 국력이 약해져 멸망하게 되고, 뒤이은 당나라도 여러 차례 고구려를 침입하였지만 성과를 거두지 못하고 패전했답니다. 이렇게 고구려는 중국 및 이민족들의 침입을 막아 민족의 방파제 역할을 함으로서 남쪽 백제와 신라의 세력 성장 및 문화 발전에도 큰 기여를 했지요. 668년에 멸망하기 전까지 고구려는 우리 민족의 기상을 떨친 용맹스러운 국가였답니다. ",117
